transaction_id,bill_date,store_id,customer_id,product_id,supplier_id,channel,quantity,mrp,discount_pct,discount_amount,sale_price,total_sale_amount,total_cost,gross_profit,gross_margin_pct,payment_mode,is_festive_period,festival_name,return_flag,date_id
TXN00000001,2024-09-02,STR01324,CUS08145,PRD01306,SUP227,In-Store,3,₹290.00,1.88%,₹5.45,₹284.55,₹853.65,₹730.14,₹123.51,14.47%,Wallet,No,,No,20240902
TXN00000002,2024-06-09,STR01365,CUS14020,PRD00120,SUP279,In-Store,1,₹300.00,1.42%,₹4.26,₹295.74,₹295.74,₹223.81,₹71.93,24.32%,Wallet,No,,No,20240609
TXN00000003,2025-07-23,STR01046,CUS14917,PRD00573,SUP271,Online,4,₹89.00,8.73%,₹7.77,₹81.23,₹324.92,₹267.60,₹57.32,17.64%,UPI,No,,No,20250723
TXN00000004,2025-09-23,STR01233,CUS10470,PRD01394,SUP226,Online,5,₹75.00,8.94%,₹6.70,₹68.30,₹341.50,₹253.10,₹88.40,25.89%,Cash,No,,No,20250923
TXN00000005,2025-08-17,STR01009,CUS03437,PRD00512,SUP233,Online,2,₹209.00,1.45%,₹3.03,₹205.97,₹411.94,₹290.02,₹121.92,29.60%,Wallet,Yes,Independence Day Sale,No,20250817
TXN00000006,2024-02-29,STR01330,CUS04504,PRD01571,SUP294,In-Store,2,₹34.00,1.99%,₹0.68,₹33.32,₹66.64,₹59.26,₹7.38,11.07%,Net Banking,No,,No,20240229
TXN00000007,2025-08-14,STR01176,CUS04251,PRD01817,SUP147,Phone-Order,5,₹110.00,8.88%,₹9.77,₹100.23,₹501.15,₹482.75,₹18.40,3.67%,Cash,Yes,Independence Day Sale,No,20250814
TXN00000008,2024-08-15,STR01068,CUS16615,PRD00368,SUP287,In-Store,3,₹200.00,6.14%,₹12.28,₹187.72,₹563.16,₹424.32,₹138.84,24.65%,Wallet,Yes,Independence Day Sale,No,20240815
TXN00000009,2025-01-20,STR01208,CUS16694,PRD01024,SUP044,In-Store,4,₹245.00,29.35%,₹71.91,₹173.09,₹692.36,₹779.68,-₹87.32,-12.61%,UPI,No,,Yes,20250120
TXN00000010,2025-10-23,STR01004,CUS13499,PRD00285,SUP107,In-Store,5,₹105.00,19.88%,₹20.87,₹84.13,₹420.65,₹349.20,₹71.45,16.99%,Cash,No,,No,20251023
TXN00000011,2025-11-21,STR01044,CUS19388,PRD00517,SUP221,In-Store,3,₹325.00,5.35%,₹17.39,₹307.61,₹922.83,₹675.51,₹247.32,26.80%,UPI,No,,No,20251121
TXN00000012,2024-03-26,STR01322,CUS08048,PRD00256,SUP049,In-Store,5,₹35.00,18.51%,₹6.48,₹28.52,₹142.60,₹153.05,-₹10.45,-7.33%,Cash,No,,No,20240326
TXN00000013,2025-09-22,STR01089,CUS11829,PRD00569,SUP206,Online,1,₹30.00,1.60%,₹0.48,₹29.52,₹29.52,₹25.21,₹4.31,14.60%,UPI,No,,No,20250922
TXN00000014,2025-03-12,STR01138,CUS05475,PRD00550,SUP061,Online,5,₹29.00,4.11%,₹1.19,₹27.81,₹139.05,₹107.05,₹32.00,23.01%,Debit Card,Yes,Holi,No,20250312
TXN00000015,2024-07-06,STR01335,CUS05285,PRD00202,SUP170,In-Store,4,₹550.00,39.65%,₹218.08,₹331.92,"₹1,327.68","₹1,686.92",-₹359.24,-27.06%,UPI,No,,No,20240706
TXN00000016,2025-02-11,STR01440,CUS15091,PRD01954,SUP139,In-Store,1,₹60.00,4.12%,₹2.47,₹57.53,₹57.53,₹42.47,₹15.06,26.18%,Credit Card,No,,No,20250211
TXN00000017,2024-02-19,STR01270,CUS19888,PRD00987,SUP125,In-Store,4,₹155.00,22.61%,₹35.05,₹119.95,₹479.80,₹497.72,-₹17.92,-3.73%,Cash,No,,No,20240219
TXN00000018,2024-06-06,STR01020,CUS02906,PRD01570,SUP140,In-Store,2,₹130.00,4.98%,₹6.47,₹123.53,₹247.06,₹217.36,₹29.70,12.02%,UPI,No,,No,20240606
TXN00000019,2024-06-30,STR01200,CUS19007,PRD01261,SUP232,App,3,₹119.00,0.22%,₹0.26,₹118.74,₹356.22,₹262.50,₹93.72,26.31%,Cash,No,,No,20240630
TXN00000020,2024-09-20,STR01023,CUS15713,PRD00714,SUP292,In-Store,2,₹294.00,9.04%,₹26.58,₹267.42,₹534.84,₹411.20,₹123.64,23.12%,UPI,No,,No,20240920
TXN00000021,2025-01-08,STR01014,CUS17814,PRD00934,SUP044,App,5,₹80.00,8.22%,₹6.58,₹73.42,₹367.10,₹299.95,₹67.15,18.29%,Credit Card,No,,No,20250108
TXN00000022,2024-12-25,STR01418,CUS03913,PRD00967,SUP086,App,2,"₹1,499.00",5.02%,₹75.25,"₹1,423.75","₹2,847.50","₹2,211.90",₹635.60,22.32%,UPI,Yes,Christmas,No,20241225
TXN00000023,2025-01-22,STR01429,CUS06857,PRD01022,SUP098,App,2,₹110.00,1.60%,₹1.76,₹108.24,₹216.48,₹181.62,₹34.86,16.10%,UPI,Yes,Republic Day Sale,No,20250122
TXN00000024,2025-12-28,STR01148,CUS19230,PRD01019,SUP290,In-Store,5,₹235.00,6.35%,₹14.92,₹220.08,"₹1,100.40",₹929.40,₹171.00,15.54%,UPI,Yes,Christmas,No,20251228
TXN00000025,2024-05-20,STR01183,CUS09483,PRD00548,SUP102,Online,5,₹205.00,4.97%,₹10.19,₹194.81,₹974.05,₹827.15,₹146.90,15.08%,Credit Card,No,,No,20240520
TXN00000026,2025-10-01,STR01131,CUS06019,PRD01219,SUP001,In-Store,1,"₹1,474.00",9.88%,₹145.63,"₹1,328.37","₹1,328.37","₹1,021.48",₹306.89,23.10%,Credit Card,No,,No,20251001
TXN00000027,2024-03-26,STR01454,CUS10500,PRD00538,SUP225,App,5,₹135.00,3.64%,₹4.91,₹130.09,₹650.45,₹451.90,₹198.55,30.53%,UPI,No,,No,20240326
TXN00000028,2025-03-20,STR01039,CUS12220,PRD01339,SUP190,In-Store,5,₹245.00,6.90%,₹16.91,₹228.09,"₹1,140.45","₹1,066.35",₹74.10,6.50%,Net Banking,No,,No,20250320
TXN00000029,2024-02-23,STR01403,CUS08727,PRD01684,SUP203,In-Store,4,₹235.00,4.11%,₹9.66,₹225.34,₹901.36,₹699.40,₹201.96,22.41%,Debit Card,No,,No,20240223
TXN00000030,2024-10-17,STR01070,CUS19453,PRD01522,SUP274,In-Store,4,₹135.00,7.87%,₹10.62,₹124.38,₹497.52,₹371.00,₹126.52,25.43%,UPI,No,,No,20241017
TXN00000031,2024-02-26,STR01481,CUS04294,PRD00915,SUP014,App,2,₹95.00,9.25%,₹8.79,₹86.21,₹172.42,₹144.94,₹27.48,15.94%,Cash,No,,No,20240226
